test_date,county,new_positives,cumulative_number_of_positives,total_number_of_tests,cumulative_number_of_tests,test_positive,geography
2022-10-06T00:00:00.000,Ulster,44,39450,347,850804,12.66%,COUNTY
2022-10-06T00:00:00.000,Warren,24,17362,306,329868,9.24%,COUNTY
2022-10-06T00:00:00.000,Washington,18,14643,220,280767,11.76%,COUNTY
2022-10-06T00:00:00.000,Wayne,19,20438,230,372829,8.42%,COUNTY
2022-10-06T00:00:00.000,Westchester,196,306883,3165,5738238,5.63%,COUNTY
2022-10-06T00:00:00.000,Western New York,259,365654,2534,6121677,10.58%,REGION
2022-10-06T00:00:00.000,Wyoming,6,9444,61,155300,8.77%,COUNTY
2022-10-06T00:00:00.000,Yates,9,4161,75,89199,13.64%,COUNTY
2022-10-05T00:00:00.000,Albany,74,73254,872,1377238,7.62%,COUNTY
2022-10-05T00:00:00.000,Allegany,4,10200,109,245066,5.45%,COUNTY
2022-10-05T00:00:00.000,Bronx,278,466150,4738,8634095,5.32%,COUNTY
2022-10-05T00:00:00.000,Broome,66,54508,525,1158021,12.37%,COUNTY
2022-10-05T00:00:00.000,Capital Region,288,265280,3550,5151627,8.22%,REGION
2022-10-05T00:00:00.000,Cattaraugus,10,18183,125,301760,8.93%,COUNTY
2022-10-05T00:00:00.000,Cayuga,23,19107,258,386532,10.95%,COUNTY
2022-10-05T00:00:00.000,Central New York,268,214276,2372,4321241,11.83%,REGION
2022-10-05T00:00:00.000,Chautauqua,23,27693,164,522534,7.89%,COUNTY
2022-10-05T00:00:00.000,Chemung,33,24885,257,469963,13.95%,COUNTY
2022-10-05T00:00:00.000,Chenango,11,11070,125,232062,8.55%,COUNTY
2022-10-05T00:00:00.000,Clinton,29,20836,159,398502,18.46%,COUNTY
2022-10-05T00:00:00.000,Columbia,11,12710,125,249720,9.02%,COUNTY
2022-10-05T00:00:00.000,Cortland,13,12557,143,301417,9.35%,COUNTY
2022-10-05T00:00:00.000,Delaware,4,9433,117,195803,3.70%,COUNTY
2022-10-05T00:00:00.000,Dutchess,60,77552,677,1454997,8.78%,COUNTY
2022-10-05T00:00:00.000,Erie,265,253073,2287,4159695,11.11%,COUNTY
2022-10-05T00:00:00.000,Essex,10,7090,88,161824,6.78%,COUNTY
2022-10-05T00:00:00.000,Finger Lakes,226,284134,3073,5500786,7.58%,REGION
2022-10-05T00:00:00.000,Franklin,15,11340,188,213097,7.87%,COUNTY
2022-10-05T00:00:00.000,Fulton,22,15464,168,224536,13.85%,COUNTY
2022-10-05T00:00:00.000,Genesee,17,15613,249,268216,6.58%,COUNTY
2022-10-05T00:00:00.000,Greene,7,10170,104,178620,6.86%,COUNTY
2022-10-05T00:00:00.000,Hamilton,2,1016,13,19875,20.00%,COUNTY
2022-10-05T00:00:00.000,Herkimer,16,16437,148,318165,8.42%,COUNTY
2022-10-05T00:00:00.000,Jefferson,35,24749,310,395448,7.41%,COUNTY
2022-10-05T00:00:00.000,Kings,443,835206,8906,18232423,4.76%,COUNTY
2022-10-05T00:00:00.000,Lewis,5,6934,52,102163,4.55%,COUNTY
2022-10-05T00:00:00.000,Livingston,10,13509,124,280185,8.77%,COUNTY
2022-10-05T00:00:00.000,Long Island,804,1016539,9817,16483626,7.31%,REGION
2022-10-05T00:00:00.000,Madison,22,15769,202,365582,12.77%,COUNTY
2022-10-05T00:00:00.000,Mid-Hudson,563,711583,7648,13093813,6.89%,REGION
2022-10-05T00:00:00.000,Mohawk Valley,144,129230,1358,2685011,10.95%,REGION
2022-10-05T00:00:00.000,Monroe,134,179798,1824,3575313,7.51%,COUNTY
2022-10-05T00:00:00.000,Montgomery,16,14104,93,219094,13.79%,COUNTY
2022-10-05T00:00:00.000,Nassau,370,499613,4698,8195148,7.34%,COUNTY
2022-10-05T00:00:00.000,New York,323,534998,7212,14137139,4.47%,COUNTY
2022-10-05T00:00:00.000,New York City,1790,2818952,31222,58990568,5.34%,REGION
2022-10-05T00:00:00.000,Niagara,53,56246,396,890088,15.53%,COUNTY
2022-10-05T00:00:00.000,North Country,112,96845,1005,1902487,9.09%,REGION
2022-10-05T00:00:00.000,Oneida,71,64725,742,1498369,11.56%,COUNTY
2022-10-05T00:00:00.000,Onondaga,159,134605,1386,2748264,11.70%,COUNTY
2022-10-05T00:00:00.000,Ontario,25,24205,287,469108,9.13%,COUNTY
2022-10-05T00:00:00.000,Orange,102,127372,1415,1902487,6.91%,COUNTY
2022-10-05T00:00:00.000,Orleans,6,9931,82,155082,8.33%,COUNTY
2022-10-05T00:00:00.000,Oswego,51,32238,383,519446,13.35%,COUNTY
2022-10-05T00:00:00.000,Otsego,11,12397,143,306110,5.88%,COUNTY
2022-10-05T00:00:00.000,Putnam,23,28855,300,478515,8.07%,COUNTY
2022-10-05T00:00:00.000,Queens,593,787157,8823,14377411,6.06%,COUNTY
2022-10-05T00:00:00.000,Rensselaer,31,38999,705,860713,4.51%,COUNTY
2022-10-05T00:00:00.000,Richmond,153,195441,1543,3609500,8.39%,COUNTY
2022-10-05T00:00:00.000,Rockland,78,109331,941,2307077,7.10%,COUNTY
2022-10-05T00:00:00.000,STATEWIDE,4720,6067755,64790,120148038,6.98%,STATEWIDE
2022-10-05T00:00:00.000,Saratoga,63,57440,643,1055082,9.14%,COUNTY
2022-10-05T00:00:00.000,Schenectady,57,40744,599,820145,14.25%,COUNTY
2022-10-05T00:00:00.000,Schoharie,8,6103,64,118737,11.48%,COUNTY
2022-10-05T00:00:00.000,Schuyler,1,4098,84,96961,1.20%,COUNTY
2022-10-05T00:00:00.000,Seneca,9,7069,79,135920,11.39%,COUNTY
2022-10-05T00:00:00.000,Southern Tier,170,165521,1664,5899736,10.29%,REGION
2022-10-05T00:00:00.000,St. Lawrence,16,24880,195,611578,7.19%,COUNTY
2022-10-05T00:00:00.000,Steuben,20,23665,169,467358,11.95%,COUNTY
2022-10-05T00:00:00.000,Suffolk,434,516926,5119,8288478,7.29%,COUNTY
2022-10-05T00:00:00.000,Sullivan,20,22380,230,365207,8.42%,COUNTY
2022-10-05T00:00:00.000,Tioga,14,13072,164,228387,8.75%,COUNTY
2022-10-05T00:00:00.000,Tompkins,21,24790,223,3051181,9.55%,COUNTY
2022-10-05T00:00:00.000,Ulster,47,39406,507,850457,7.83%,COUNTY
2022-10-05T00:00:00.000,Warren,20,17338,283,329562,6.15%,COUNTY
2022-10-05T00:00:00.000,Washington,25,14625,219,280547,12.33%,COUNTY
2022-10-05T00:00:00.000,Wayne,16,20419,210,372599,7.43%,COUNTY
2022-10-05T00:00:00.000,Westchester,233,306687,3578,5735073,6.10%,COUNTY
2022-10-05T00:00:00.000,Western New York,355,365395,3081,6119143,11.26%,REGION
2022-10-05T00:00:00.000,Wyoming,3,9438,121,155239,3.66%,COUNTY
2022-10-05T00:00:00.000,Yates,6,4152,97,89124,5.43%,COUNTY
2022-10-04T00:00:00.000,Albany,106,73180,639,1376366,14.92%,COUNTY
2022-10-04T00:00:00.000,Allegany,5,10196,121,244957,4.30%,COUNTY
2022-10-04T00:00:00.000,Bronx,230,465872,4032,8629357,5.88%,COUNTY
2022-10-04T00:00:00.000,Broome,60,54442,1179,1157496,5.13%,COUNTY
2022-10-04T00:00:00.000,Capital Region,257,264992,2385,5148077,10.36%,REGION
2022-10-04T00:00:00.000,Cattaraugus,28,18173,138,301635,22.22%,COUNTY
2022-10-04T00:00:00.000,Cayuga,24,19084,210,386274,12.26%,COUNTY
2022-10-04T00:00:00.000,Central New York,279,214008,2271,4318869,12.69%,REGION
2022-10-04T00:00:00.000,Chautauqua,22,27670,144,522370,11.68%,COUNTY
2022-10-04T00:00:00.000,Chemung,21,24852,269,469706,9.50%,COUNTY
