test_date,county,new_positives,cumulative_number_of_positives,total_number_of_tests,cumulative_number_of_tests,test_positive,geography
2022-10-02T00:00:00.000,New York,218,534066,3888,14119899,4.85%,COUNTY
2022-10-02T00:00:00.000,New York City,1068,2814292,20134,58915289,4.56%,REGION
2022-10-02T00:00:00.000,Niagara,23,56130,193,889039,11.17%,COUNTY
2022-10-02T00:00:00.000,North Country,67,96557,571,1899909,10.20%,REGION
2022-10-02T00:00:00.000,Oneida,38,64524,443,1496227,10.08%,COUNTY
2022-10-02T00:00:00.000,Onondaga,80,134215,813,2744915,9.18%,COUNTY
2022-10-02T00:00:00.000,Ontario,25,24127,241,468338,10.59%,COUNTY
2022-10-02T00:00:00.000,Orange,51,127073,694,1898893,6.21%,COUNTY
2022-10-02T00:00:00.000,Orleans,5,9907,67,154881,7.46%,COUNTY
2022-10-02T00:00:00.000,Oswego,32,32095,164,518536,18.75%,COUNTY
2022-10-02T00:00:00.000,Otsego,8,12363,109,305656,6.54%,COUNTY
2022-10-02T00:00:00.000,Putnam,12,28794,158,477768,7.43%,COUNTY
2022-10-02T00:00:00.000,Queens,312,785765,5502,14357698,5.29%,COUNTY
2022-10-02T00:00:00.000,Rensselaer,31,38906,320,859451,9.32%,COUNTY
2022-10-02T00:00:00.000,Richmond,115,195037,1162,3605188,9.54%,COUNTY
2022-10-02T00:00:00.000,Rockland,44,109137,446,2304332,8.31%,COUNTY
2022-10-02T00:00:00.000,STATEWIDE,2754,6055593,39247,119988852,6.42%,STATEWIDE
2022-10-02T00:00:00.000,Saratoga,65,57284,590,1053705,9.51%,COUNTY
2022-10-02T00:00:00.000,Schenectady,25,40642,279,818993,8.09%,COUNTY
2022-10-02T00:00:00.000,Schoharie,1,6081,20,118544,5.26%,COUNTY
2022-10-02T00:00:00.000,Schuyler,6,4092,20,96702,31.58%,COUNTY
2022-10-02T00:00:00.000,Seneca,4,7049,79,135717,5.13%,COUNTY
2022-10-02T00:00:00.000,Southern Tier,69,165081,742,5894299,9.38%,REGION
2022-10-02T00:00:00.000,St. Lawrence,9,24830,123,611046,7.56%,COUNTY
2022-10-02T00:00:00.000,Steuben,9,23602,111,466761,8.74%,COUNTY
2022-10-02T00:00:00.000,Suffolk,282,515835,3216,8275540,7.40%,COUNTY
2022-10-02T00:00:00.000,Sullivan,12,22314,156,364473,6.57%,COUNTY
2022-10-02T00:00:00.000,Tioga,10,13036,65,227957,15.38%,COUNTY
2022-10-02T00:00:00.000,Tompkins,4,24729,68,3050525,6.06%,COUNTY
2022-10-02T00:00:00.000,Ulster,30,39314,266,849264,11.16%,COUNTY
2022-10-02T00:00:00.000,Warren,12,17286,146,328987,6.31%,COUNTY
2022-10-02T00:00:00.000,Washington,7,14569,125,280025,6.80%,COUNTY
2022-10-02T00:00:00.000,Wayne,12,20377,171,372007,7.01%,COUNTY
2022-10-02T00:00:00.000,Westchester,115,306112,1711,5726885,5.82%,COUNTY
2022-10-02T00:00:00.000,Western New York,179,364558,1714,6111446,9.78%,REGION
2022-10-02T00:00:00.000,Wyoming,0,9412,27,154961,0.00%,COUNTY
2022-10-02T00:00:00.000,Yates,7,4135,74,88941,18.92%,COUNTY
2022-10-01T00:00:00.000,Albany,57,72991,557,1374917,9.80%,COUNTY
2022-10-01T00:00:00.000,Allegany,5,10181,76,244732,4.23%,COUNTY
2022-10-01T00:00:00.000,Bronx,241,465296,3850,8619673,5.72%,COUNTY
2022-10-01T00:00:00.000,Broome,39,54326,526,1155747,7.16%,COUNTY
2022-10-01T00:00:00.000,Capital Region,197,264371,2035,5142361,9.73%,REGION
2022-10-01T00:00:00.000,Cattaraugus,11,18135,113,301336,10.00%,COUNTY
2022-10-01T00:00:00.000,Cayuga,15,19033,159,385796,9.74%,COUNTY
2022-10-01T00:00:00.000,Central New York,181,213453,1754,4314225,10.22%,REGION
2022-10-01T00:00:00.000,Chautauqua,12,27604,109,521980,10.48%,COUNTY
2022-10-01T00:00:00.000,Chemung,16,24808,290,469198,6.25%,COUNTY
2022-10-01T00:00:00.000,Chenango,8,11038,205,231604,7.14%,COUNTY
2022-10-01T00:00:00.000,Clinton,20,20745,133,397976,15.25%,COUNTY
2022-10-01T00:00:00.000,Columbia,4,12680,68,249366,5.97%,COUNTY
2022-10-01T00:00:00.000,Cortland,13,12513,143,300949,9.09%,COUNTY
2022-10-01T00:00:00.000,Delaware,8,9410,88,195327,8.97%,COUNTY
2022-10-01T00:00:00.000,Dutchess,43,77347,468,1452665,9.35%,COUNTY
2022-10-01T00:00:00.000,Erie,121,252352,1415,4152838,8.71%,COUNTY
2022-10-01T00:00:00.000,Essex,7,7067,92,161503,3.95%,COUNTY
2022-10-01T00:00:00.000,Finger Lakes,201,283321,2640,5490697,7.80%,REGION
2022-10-01T00:00:00.000,Franklin,14,11293,112,212653,12.84%,COUNTY
2022-10-01T00:00:00.000,Fulton,22,15378,97,223919,23.60%,COUNTY
2022-10-01T00:00:00.000,Genesee,9,15563,152,267567,5.41%,COUNTY
2022-10-01T00:00:00.000,Greene,7,10153,60,178377,8.93%,COUNTY
2022-10-01T00:00:00.000,Hamilton,3,1014,14,19842,18.18%,COUNTY
2022-10-01T00:00:00.000,Herkimer,14,16381,194,317540,8.79%,COUNTY
2022-10-01T00:00:00.000,Jefferson,12,24631,167,394443,6.29%,COUNTY
2022-10-01T00:00:00.000,Kings,406,833705,11679,18203249,3.01%,COUNTY
2022-10-01T00:00:00.000,Lewis,1,6919,32,101998,3.23%,COUNTY
2022-10-01T00:00:00.000,Livingston,13,13465,132,279752,10.00%,COUNTY
2022-10-01T00:00:00.000,Long Island,650,1014037,8052,16453596,6.30%,REGION
2022-10-01T00:00:00.000,Madison,13,15709,118,365006,12.26%,COUNTY
2022-10-01T00:00:00.000,Mid-Hudson,445,709827,5684,13070849,7.06%,REGION
2022-10-01T00:00:00.000,Mohawk Valley,111,128725,1140,2680095,12.19%,REGION
2022-10-01T00:00:00.000,Monroe,110,179339,1643,3569192,7.21%,COUNTY
2022-10-01T00:00:00.000,Montgomery,12,14045,100,218781,16.42%,COUNTY
2022-10-01T00:00:00.000,Nassau,283,498484,3834,8181272,6.24%,COUNTY
2022-10-01T00:00:00.000,New York,354,533848,6938,14116011,4.99%,COUNTY
2022-10-01T00:00:00.000,New York City,1549,2813224,31051,58895155,4.47%,REGION
2022-10-01T00:00:00.000,Niagara,19,56107,238,888846,8.21%,COUNTY
2022-10-01T00:00:00.000,North Country,76,96490,767,1899338,9.34%,REGION
2022-10-01T00:00:00.000,Oneida,45,64486,583,1495784,10.77%,COUNTY
2022-10-01T00:00:00.000,Onondaga,95,134135,1036,2744102,8.76%,COUNTY
2022-10-01T00:00:00.000,Ontario,21,24102,268,468097,8.08%,COUNTY
2022-10-01T00:00:00.000,Orange,83,127022,1175,1898199,6.40%,COUNTY
2022-10-01T00:00:00.000,Orleans,4,9902,69,154814,5.80%,COUNTY
2022-10-01T00:00:00.000,Oswego,45,32063,298,518372,15.31%,COUNTY
2022-10-01T00:00:00.000,Otsego,16,12355,116,305547,11.54%,COUNTY
2022-10-01T00:00:00.000,Putnam,17,28782,250,477610,7.11%,COUNTY
2022-10-01T00:00:00.000,Queens,411,785453,7012,14352196,5.16%,COUNTY
2022-10-01T00:00:00.000,Rensselaer,20,38875,263,859131,7.63%,COUNTY
2022-10-01T00:00:00.000,Richmond,137,194922,1572,3604026,8.05%,COUNTY
2022-10-01T00:00:00.000,Rockland,61,109093,799,2303886,7.15%,COUNTY
2022-10-01T00:00:00.000,STATEWIDE,3697,6052839,56864,119949605,6.00%,STATEWIDE
2022-10-01T00:00:00.000,Saratoga,49,57219,400,1053115,12.77%,COUNTY
2022-10-01T00:00:00.000,Schenectady,23,40617,264,818714,8.14%,COUNTY
2022-10-01T00:00:00.000,Schoharie,2,6080,50,118524,4.00%,COUNTY
2022-10-01T00:00:00.000,Schuyler,1,4086,59,96682,1.89%,COUNTY
2022-10-01T00:00:00.000,Seneca,6,7045,60,135638,10.17%,COUNTY
2022-10-01T00:00:00.000,Southern Tier,119,165012,1790,5893557,6.97%,REGION
2022-10-01T00:00:00.000,St. Lawrence,19,24821,217,610923,8.92%,COUNTY
2022-10-01T00:00:00.000,Steuben,28,23593,333,466650,8.41%,COUNTY
2022-10-01T00:00:00.000,Suffolk,367,515553,4218,8272324,6.35%,COUNTY
2022-10-01T00:00:00.000,Sullivan,12,22302,202,364317,5.85%,COUNTY
2022-10-01T00:00:00.000,Tioga,7,13026,133,227892,4.80%,COUNTY
2022-10-01T00:00:00.000,Tompkins,12,24725,156,3050457,7.74%,COUNTY
2022-10-01T00:00:00.000,Ulster,30,39284,291,848998,10.98%,COUNTY
2022-10-01T00:00:00.000,Warren,24,17274,205,328841,11.43%,COUNTY
2022-10-01T00:00:00.000,Washington,13,14562,218,279900,8.41%,COUNTY
2022-10-01T00:00:00.000,Wayne,29,20365,198,371836,13.11%,COUNTY
2022-10-01T00:00:00.000,Westchester,199,305997,2499,5725174,6.46%,COUNTY
2022-10-01T00:00:00.000,Western New York,168,364379,1951,6109732,8.65%,REGION
2022-10-01T00:00:00.000,Wyoming,6,9412,77,154934,6.85%,COUNTY
2022-10-01T00:00:00.000,Yates,3,4128,41,88867,7.32%,COUNTY
2022-09-30T00:00:00.000,Albany,47,72934,546,1374360,7.85%,COUNTY
2022-09-30T00:00:00.000,Allegany,6,10176,142,244656,9.84%,COUNTY
2022-09-30T00:00:00.000,Bronx,306,465055,4986,8615823,5.31%,COUNTY
2022-09-30T00:00:00.000,Broome,56,54287,853,1155221,6.57%,COUNTY
2022-09-30T00:00:00.000,Capital Region,210,264174,2318,5140326,9.07%,REGION
2022-09-30T00:00:00.000,Cattaraugus,16,18124,98,301223,15.56%,COUNTY
2022-09-30T00:00:00.000,Cayuga,17,19018,240,385637,9.36%,COUNTY
2022-09-30T00:00:00.000,Central New York,225,213272,2371,4312471,10.07%,REGION
2022-09-30T00:00:00.000,Chautauqua,21,27592,167,521871,15.67%,COUNTY
2022-09-30T00:00:00.000,Chemung,26,24792,316,468908,7.54%,COUNTY
2022-09-30T00:00:00.000,Chenango,9,11030,117,231399,8.04%,COUNTY
2022-09-30T00:00:00.000,Clinton,22,20725,175,397843,10.90%,COUNTY
2022-09-30T00:00:00.000,Columbia,15,12676,84,249298,17.50%,COUNTY
2022-09-30T00:00:00.000,Cortland,13,12500,162,300806,8.07%,COUNTY
2022-09-30T00:00:00.000,Delaware,8,9402,129,195239,5.00%,COUNTY
2022-09-30T00:00:00.000,Dutchess,45,77304,658,1452197,7.43%,COUNTY
2022-09-30T00:00:00.000,Erie,194,252231,1837,4151423,10.78%,COUNTY
2022-09-30T00:00:00.000,Essex,8,7060,93,161411,8.97%,COUNTY
2022-09-30T00:00:00.000,Finger Lakes,235,283120,3001,5488057,8.53%,REGION
2022-09-30T00:00:00.000,Franklin,12,11279,135,212541,9.91%,COUNTY
2022-09-30T00:00:00.000,Fulton,18,15356,272,223822,14.91%,COUNTY
2022-09-30T00:00:00.000,Genesee,10,15554,164,267415,6.49%,COUNTY
2022-09-30T00:00:00.000,Greene,6,10146,109,178317,7.04%,COUNTY
2022-09-30T00:00:00.000,Hamilton,0,1011,10,19828,0.00%,COUNTY
2022-09-30T00:00:00.000,Herkimer,9,16367,229,317346,3.48%,COUNTY
2022-09-30T00:00:00.000,Jefferson,25,24619,301,394276,4.55%,COUNTY
2022-09-30T00:00:00.000,Kings,595,833299,12126,18191570,4.42%,COUNTY
2022-09-30T00:00:00.000,Lewis,3,6918,32,101966,13.04%,COUNTY
2022-09-30T00:00:00.000,Livingston,14,13452,97,279620,14.12%,COUNTY
2022-09-30T00:00:00.000,Long Island,797,1013387,9306,16445544,7.55%,REGION
2022-09-30T00:00:00.000,Madison,15,15696,186,364888,9.03%,COUNTY
2022-09-30T00:00:00.000,Mid-Hudson,521,709382,7032,13065165,6.97%,REGION
2022-09-30T00:00:00.000,Mohawk Valley,134,128614,1806,2678955,8.77%,REGION
2022-09-30T00:00:00.000,Monroe,123,179229,1898,3567549,7.62%,COUNTY
2022-09-30T00:00:00.000,Montgomery,14,14033,133,218681,12.04%,COUNTY
2022-09-30T00:00:00.000,Nassau,374,498201,4423,8177438,8.03%,COUNTY
2022-09-30T00:00:00.000,New York,403,533494,8204,14109073,4.84%,COUNTY
2022-09-30T00:00:00.000,New York City,2030,2811675,35590,58864104,5.18%,REGION
2022-09-30T00:00:00.000,Niagara,36,56088,306,888608,12.30%,COUNTY
2022-09-30T00:00:00.000,North Country,92,96414,958,1898571,8.64%,REGION
2022-09-30T00:00:00.000,Oneida,75,64441,821,1495201,9.25%,COUNTY
2022-09-30T00:00:00.000,Onondaga,132,134040,1446,2743066,9.53%,COUNTY
2022-09-30T00:00:00.000,Ontario,28,24081,266,467829,12.84%,COUNTY
2022-09-30T00:00:00.000,Orange,131,126939,1241,1897024,9.49%,COUNTY
2022-09-30T00:00:00.000,Orleans,20,9898,85,154745,18.42%,COUNTY
2022-09-30T00:00:00.000,Oswego,48,32018,337,518074,14.06%,COUNTY
2022-09-30T00:00:00.000,Otsego,11,12339,284,305431,4.83%,COUNTY
2022-09-30T00:00:00.000,Putnam,24,28765,228,477360,11.27%,COUNTY
2022-09-30T00:00:00.000,Queens,547,785042,8496,14345184,5.81%,COUNTY
2022-09-30T00:00:00.000,Rensselaer,32,38855,269,858868,11.58%,COUNTY
2022-09-30T00:00:00.000,Richmond,179,194785,1778,3602454,9.04%,COUNTY
2022-09-30T00:00:00.000,Rockland,62,109032,1275,2303087,4.33%,COUNTY
2022-09-30T00:00:00.000,STATEWIDE,4673,6049142,67028,119892741,6.64%,STATEWIDE
2022-09-30T00:00:00.000,Saratoga,47,57170,444,1052715,10.17%,COUNTY
2022-09-30T00:00:00.000,Schenectady,32,40594,481,818450,8.63%,COUNTY
2022-09-30T00:00:00.000,Schoharie,7,6078,67,118474,10.61%,COUNTY
2022-09-30T00:00:00.000,Schuyler,4,4085,61,96623,7.02%,COUNTY
2022-09-30T00:00:00.000,Seneca,9,7039,81,135578,10.96%,COUNTY
2022-09-30T00:00:00.000,Southern Tier,156,164893,2096,5891767,7.36%,REGION
2022-09-30T00:00:00.000,St. Lawrence,22,24802,212,610706,10.19%,COUNTY
2022-09-30T00:00:00.000,Steuben,20,23565,238,466317,9.18%,COUNTY
2022-09-30T00:00:00.000,Suffolk,423,515186,4883,8268106,7.10%,COUNTY
2022-09-30T00:00:00.000,Sullivan,22,22290,281,364115,7.88%,COUNTY
2022-09-30T00:00:00.000,Tioga,12,13019,149,227759,8.51%,COUNTY
2022-09-30T00:00:00.000,Tompkins,21,24713,233,3050301,8.66%,COUNTY
2022-09-30T00:00:00.000,Ulster,46,39254,424,848707,10.89%,COUNTY
2022-09-30T00:00:00.000,Warren,18,17250,239,328636,5.06%,COUNTY
2022-09-30T00:00:00.000,Washington,13,14549,146,279682,8.13%,COUNTY
2022-09-30T00:00:00.000,Wayne,13,20336,250,371638,4.93%,COUNTY
2022-09-30T00:00:00.000,Westchester,191,305798,2925,5722675,5.86%,COUNTY
2022-09-30T00:00:00.000,Western New York,273,364211,2550,6107781,11.42%,REGION
2022-09-30T00:00:00.000,Wyoming,6,9406,60,154857,9.09%,COUNTY
2022-09-30T00:00:00.000,Yates,12,4125,100,88826,10.20%,COUNTY
2022-09-29T00:00:00.000,Albany,72,72887,574,1373814,11.09%,COUNTY
2022-09-29T00:00:00.000,Allegany,10,10170,66,244514,13.79%,COUNTY
2022-09-29T00:00:00.000,Bronx,339,464749,5232,8610837,6.73%,COUNTY
2022-09-29T00:00:00.000,Broome,53,54231,455,1154368,11.57%,COUNTY
2022-09-29T00:00:00.000,Capital Region,284,263964,2380,5138008,11.70%,REGION
2022-09-29T00:00:00.000,Cattaraugus,20,18108,116,301125,20.20%,COUNTY
2022-09-29T00:00:00.000,Cayuga,34,19001,258,385397,14.62%,COUNTY
2022-09-29T00:00:00.000,Central New York,274,213047,3035,4310100,9.13%,REGION
2022-09-29T00:00:00.000,Chautauqua,30,27571,163,521704,16.77%,COUNTY
2022-09-29T00:00:00.000,Chemung,26,24766,296,468592,12.09%,COUNTY
2022-09-29T00:00:00.000,Chenango,8,11021,101,231282,7.45%,COUNTY
2022-09-29T00:00:00.000,Clinton,39,20703,199,397668,21.30%,COUNTY
2022-09-29T00:00:00.000,Columbia,9,12661,104,249214,8.16%,COUNTY
2022-09-29T00:00:00.000,Cortland,16,12487,161,300644,9.94%,COUNTY
2022-09-29T00:00:00.000,Delaware,6,9394,87,195110,3.90%,COUNTY
2022-09-29T00:00:00.000,Dutchess,73,77259,649,1451539,11.83%,COUNTY
2022-09-29T00:00:00.000,Erie,194,252037,1685,4149586,11.24%,COUNTY
2022-09-29T00:00:00.000,Essex,10,7052,111,161318,5.88%,COUNTY
2022-09-29T00:00:00.000,Finger Lakes,243,282885,2848,5485056,9.32%,REGION
2022-09-29T00:00:00.000,Franklin,17,11267,138,212406,14.29%,COUNTY
2022-09-29T00:00:00.000,Fulton,20,15338,157,223550,16.38%,COUNTY
2022-09-29T00:00:00.000,Genesee,21,15544,170,267251,12.27%,COUNTY
2022-09-29T00:00:00.000,Greene,10,10140,72,178208,14.29%,COUNTY
2022-09-29T00:00:00.000,Hamilton,0,1011,10,19818,0.00%,COUNTY
2022-09-29T00:00:00.000,Herkimer,17,16358,163,317117,10.23%,COUNTY
2022-09-29T00:00:00.000,Jefferson,37,24594,337,393975,8.42%,COUNTY
2022-09-29T00:00:00.000,Kings,585,832704,10301,18179444,5.45%,COUNTY
2022-09-29T00:00:00.000,Lewis,2,6915,50,101934,5.88%,COUNTY
2022-09-29T00:00:00.000,Livingston,9,13438,160,279523,5.97%,COUNTY
2022-09-29T00:00:00.000,Long Island,874,1012590,9464,16436238,8.24%,REGION
2022-09-29T00:00:00.000,Madison,21,15681,225,364702,9.90%,COUNTY
2022-09-29T00:00:00.000,Mid-Hudson,658,708861,11712,13058133,4.98%,REGION
2022-09-29T00:00:00.000,Mohawk Valley,137,128480,1379,2677149,12.21%,REGION
2022-09-29T00:00:00.000,Monroe,125,179106,1725,3565651,7.98%,COUNTY
2022-09-29T00:00:00.000,Montgomery,20,14019,153,218548,24.32%,COUNTY
2022-09-29T00:00:00.000,Nassau,397,497827,4675,8173015,8.17%,COUNTY
2022-09-29T00:00:00.000,New York,485,533091,8289,14100869,5.88%,COUNTY
2022-09-29T00:00:00.000,New York City,2142,2809645,34200,58828514,6.10%,REGION
2022-09-29T00:00:00.000,Niagara,29,56052,340,888302,9.35%,COUNTY
2022-09-29T00:00:00.000,North Country,125,96322,1060,1897613,11.64%,REGION
2022-09-29T00:00:00.000,Oneida,61,64366,678,1494380,11.11%,COUNTY
2022-09-29T00:00:00.000,Onondaga,163,133908,2045,2741620,7.94%,COUNTY
2022-09-29T00:00:00.000,Ontario,38,24053,300,467563,14.17%,COUNTY
2022-09-29T00:00:00.000,Orange,137,126808,1506,1895783,8.53%,COUNTY
2022-09-29T00:00:00.000,Orleans,7,9878,73,154660,10.14%,COUNTY
2022-09-29T00:00:00.000,Oswego,40,31970,346,517737,11.73%,COUNTY
2022-09-29T00:00:00.000,Otsego,12,12328,180,305147,7.25%,COUNTY
2022-09-29T00:00:00.000,Putnam,40,28741,327,477132,12.62%,COUNTY
2022-09-29T00:00:00.000,Queens,573,784495,8263,14336688,6.63%,COUNTY
2022-09-29T00:00:00.000,Rensselaer,51,38823,315,858599,16.17%,COUNTY
2022-09-29T00:00:00.000,Richmond,160,194606,2115,3600676,6.80%,COUNTY
2022-09-29T00:00:00.000,Rockland,91,108970,4925,2301812,1.34%,COUNTY
2022-09-29T00:00:00.000,STATEWIDE,5183,6044469,70063,119825713,7.17%,STATEWIDE
2022-09-29T00:00:00.000,Saratoga,55,57123,473,1052271,11.67%,COUNTY
2022-09-29T00:00:00.000,Schenectady,45,40562,399,817969,12.20%,COUNTY
2022-09-29T00:00:00.000,Schoharie,7,6071,48,118407,10.87%,COUNTY
2022-09-29T00:00:00.000,Schuyler,5,4081,46,96562,11.36%,COUNTY
2022-09-29T00:00:00.000,Seneca,8,7030,91,135497,9.52%,COUNTY
2022-09-29T00:00:00.000,Southern Tier,163,164737,1615,5889671,10.75%,REGION
2022-09-29T00:00:00.000,St. Lawrence,20,24780,215,610494,10.05%,COUNTY
2022-09-29T00:00:00.000,Steuben,28,23545,257,466079,12.76%,COUNTY
2022-09-29T00:00:00.000,Suffolk,477,514763,4789,8263223,8.30%,COUNTY
2022-09-29T00:00:00.000,Sullivan,18,22268,279,363834,6.17%,COUNTY
2022-09-29T00:00:00.000,Tioga,18,13007,148,227610,12.68%,COUNTY
2022-09-29T00:00:00.000,Tompkins,19,24692,225,3050068,8.52%,COUNTY
2022-09-29T00:00:00.000,Ulster,40,39208,486,848283,8.35%,COUNTY
2022-09-29T00:00:00.000,Warren,23,17232,236,328397,4.64%,COUNTY
2022-09-29T00:00:00.000,Washington,19,14536,207,279536,12.28%,COUNTY
2022-09-29T00:00:00.000,Wayne,27,20323,187,371388,15.66%,COUNTY
2022-09-29T00:00:00.000,Westchester,259,305607,3540,5719750,6.46%,COUNTY
2022-09-29T00:00:00.000,Western New York,283,363938,2370,6105231,11.87%,REGION
2022-09-29T00:00:00.000,Wyoming,4,9400,75,154797,5.41%,COUNTY
2022-09-29T00:00:00.000,Yates,4,4113,67,88726,6.35%,COUNTY
2022-09-28T00:00:00.000,Albany,83,72815,862,1373240,9.04%,COUNTY
2022-09-28T00:00:00.000,Allegany,14,10160,111,244448,14.29%,COUNTY
2022-09-28T00:00:00.000,Bronx,336,464410,5276,8605605,5.56%,COUNTY
2022-09-28T00:00:00.000,Broome,48,54178,624,1153913,7.71%,COUNTY
2022-09-28T00:00:00.000,Capital Region,298,263680,3562,5135628,8.23%,REGION
2022-09-28T00:00:00.000,Cattaraugus,17,18088,162,301009,11.19%,COUNTY
2022-09-28T00:00:00.000,Cayuga,25,18967,279,385139,11.06%,COUNTY
2022-09-28T00:00:00.000,Central New York,264,212773,2483,4307065,10.98%,REGION
2022-09-28T00:00:00.000,Chautauqua,21,27541,168,521541,12.10%,COUNTY
2022-09-28T00:00:00.000,Chemung,25,24740,291,468296,11.36%,COUNTY
2022-09-28T00:00:00.000,Chenango,16,11013,111,231181,12.62%,COUNTY
2022-09-28T00:00:00.000,Clinton,47,20664,277,397469,20.62%,COUNTY
2022-09-28T00:00:00.000,Columbia,13,12652,127,249110,10.83%,COUNTY
2022-09-28T00:00:00.000,Cortland,15,12471,165,300483,8.64%,COUNTY
2022-09-28T00:00:00.000,Delaware,8,9388,92,195023,8.54%,COUNTY
2022-09-28T00:00:00.000,Dutchess,82,77186,961,1450890,8.79%,COUNTY
2022-09-28T00:00:00.000,Erie,238,251843,2441,4147901,10.86%,COUNTY
2022-09-28T00:00:00.000,Essex,12,7042,107,161207,7.35%,COUNTY
2022-09-28T00:00:00.000,Finger Lakes,274,282642,3659,5482208,8.27%,REGION
2022-09-28T00:00:00.000,Franklin,18,11250,211,212268,8.82%,COUNTY
2022-09-28T00:00:00.000,Fulton,25,15318,242,223393,13.77%,COUNTY
2022-09-28T00:00:00.000,Genesee,10,15523,212,267081,4.00%,COUNTY
2022-09-28T00:00:00.000,Greene,3,10130,75,178136,4.11%,COUNTY
2022-09-28T00:00:00.000,Hamilton,2,1011,11,19808,14.29%,COUNTY
2022-09-28T00:00:00.000,Herkimer,19,16341,236,316954,8.90%,COUNTY
2022-09-28T00:00:00.000,Jefferson,52,24557,389,393638,11.01%,COUNTY
2022-09-28T00:00:00.000,Kings,531,832119,9143,18169143,5.48%,COUNTY
2022-09-28T00:00:00.000,Lewis,4,6913,67,101884,6.82%,COUNTY
2022-09-28T00:00:00.000,Livingston,20,13429,141,279363,15.65%,COUNTY
2022-09-28T00:00:00.000,Long Island,902,1011716,10254,16426774,7.94%,REGION
2022-09-28T00:00:00.000,Madison,18,15660,218,364477,10.49%,COUNTY
2022-09-28T00:00:00.000,Mid-Hudson,582,708203,7379,13046421,7.65%,REGION
2022-09-28T00:00:00.000,Mohawk Valley,155,128343,1620,2675770,12.30%,REGION
2022-09-28T00:00:00.000,Monroe,162,178981,2269,3563926,7.80%,COUNTY
2022-09-28T00:00:00.000,Montgomery,21,13999,111,218395,19.80%,COUNTY
2022-09-28T00:00:00.000,Nassau,369,497430,4820,8168340,7.22%,COUNTY
2022-09-28T00:00:00.000,New York,483,532606,8352,14092580,5.60%,COUNTY
2022-09-28T00:00:00.000,New York City,2050,2807503,32824,58794314,5.87%,REGION
2022-09-28T00:00:00.000,Niagara,39,56023,398,887962,10.19%,COUNTY
2022-09-28T00:00:00.000,North Country,171,96197,1300,1896553,12.71%,REGION
2022-09-28T00:00:00.000,Oneida,73,64305,736,1493702,13.32%,COUNTY
2022-09-28T00:00:00.000,Onondaga,153,133745,1438,2739575,10.42%,COUNTY
2022-09-28T00:00:00.000,Ontario,32,24015,391,467263,10.67%,COUNTY
2022-09-28T00:00:00.000,Orange,123,126671,1340,1894277,7.93%,COUNTY
2022-09-28T00:00:00.000,Orleans,8,9871,104,154587,8.33%,COUNTY
2022-09-28T00:00:00.000,Oswego,53,31930,383,517391,14.21%,COUNTY
2022-09-28T00:00:00.000,Otsego,8,12316,222,304967,5.37%,COUNTY
2022-09-28T00:00:00.000,Putnam,26,28701,267,476805,11.02%,COUNTY
2022-09-28T00:00:00.000,Queens,530,783922,8014,14328425,6.32%,COUNTY
2022-09-28T00:00:00.000,Rensselaer,52,38772,713,858284,7.40%,COUNTY
2022-09-28T00:00:00.000,Richmond,170,194446,2039,3598561,7.80%,COUNTY
2022-09-28T00:00:00.000,Rockland,66,108879,832,2296887,8.07%,COUNTY
2022-09-28T00:00:00.000,STATEWIDE,5181,6039286,68310,119755650,7.47%,STATEWIDE
2022-09-28T00:00:00.000,Saratoga,62,57068,641,1051798,8.91%,COUNTY
2022-09-28T00:00:00.000,Schenectady,38,40517,519,817570,6.79%,COUNTY
2022-09-28T00:00:00.000,Schoharie,9,6064,73,118359,12.86%,COUNTY
2022-09-28T00:00:00.000,Schuyler,8,4076,133,96516,6.35%,COUNTY
2022-09-28T00:00:00.000,Seneca,13,7022,100,135406,13.33%,COUNTY
2022-09-28T00:00:00.000,Southern Tier,156,164574,1949,5888056,8.70%,REGION
2022-09-28T00:00:00.000,St. Lawrence,36,24760,238,610279,14.76%,COUNTY
2022-09-28T00:00:00.000,Steuben,14,23517,331,465822,5.73%,COUNTY
2022-09-28T00:00:00.000,Suffolk,533,514286,5434,8258434,8.60%,COUNTY
2022-09-28T00:00:00.000,Sullivan,21,22250,284,363555,4.80%,COUNTY
2022-09-28T00:00:00.000,Tioga,19,12989,137,227462,14.07%,COUNTY
2022-09-28T00:00:00.000,Tompkins,18,24673,230,3049843,7.59%,COUNTY
2022-09-28T00:00:00.000,Ulster,66,39168,509,847797,12.96%,COUNTY
2022-09-28T00:00:00.000,Warren,29,17209,406,328161,9.38%,COUNTY
2022-09-28T00:00:00.000,Washington,18,14517,219,279329,8.59%,COUNTY
2022-09-28T00:00:00.000,Wayne,15,20296,275,371201,5.35%,COUNTY
2022-09-28T00:00:00.000,Westchester,198,305348,3186,5716210,6.05%,COUNTY
2022-09-28T00:00:00.000,Western New York,329,363655,3280,6102861,11.00%,REGION
2022-09-28T00:00:00.000,Wyoming,10,9396,73,154722,15.15%,COUNTY
2022-09-28T00:00:00.000,Yates,4,4109,94,88659,7.02%,COUNTY
2022-09-27T00:00:00.000,Albany,68,72732,551,1372378,11.65%,COUNTY
2022-09-27T00:00:00.000,Allegany,12,10146,117,244337,9.71%,COUNTY
2022-09-27T00:00:00.000,Bronx,276,464074,4316,8600329,5.43%,COUNTY
